mp_id,first_name,last_name,title,cand_for,birth,natio,place_resid,region_resid
678,Milan,Mojš,Ing. ,SMER – sociálna demokracia,1956-11-11,slovenská,Likavka,Žilinský
322,Dušan,Muňko,Ing. ,SMER – sociálna demokracia,1944-09-24,slovenská,Bratislava,Bratislavský
899,Peter,Náhlik,"PhDr., PhD.",SMER – sociálna demokracia,1981-08-18,slovenská,Trnava,Trnavský kraj
679,Oľga,Nachtmannová,"Mgr., PhD.",SMER – sociálna demokracia,1963-07-14,slovenská,Bratislava,Bratislavský
956,Jana,Nehézová,Ing. ,Kotleba - Ľudová strana Naše Slovensko,1975-02-25,slovenská,Staré Hory,Banskobystrický
974,Martin,Nemky,"Ing., MBA",SMER – sociálna demokracia,1980-03-10,slovenská,Nitra,Nitriansky
100,Peter,Osuský,"MUDr., CSc.",Sloboda a Solidarita,1953-10-11,slovenská,Bratislava,Bratislavský
937,Peter,Pamula,Bc. ,Slovenská národná strana,1971-02-18,slovenská,Dobšiná,Košický
870,Milan,Panáček,Ing. ,SMER – sociálna demokracia,1977-07-23,slovenská,Dohňany,Trenčiansky kraj
103,Jaroslav,Paška,akad. arch. Ing. arch. ,Slovenská národná strana,1954-06-20,slovenská,Bratislava,Bratislavský
681,Pavol,Pavlis,Ing. ,SMER – sociálna demokracia,1961-01-12,slovenská,Pezinok,Bratislavský
928,Adriana,Pčolinská,"doc. PaedDr. , PhD.",SME RODINA - Boris Kollár,1978-08-07,slovenská,Bratislava,Bratislavský
923,Peter,Pčolinský,Mgr. ,SME RODINA - Boris Kollár,1982-04-06,slovenská,Nižný Hrabovec,Prešovský
682,Peter,Pellegrini,Ing. ,SMER – sociálna demokracia,1975-10-06,slovenská,Banská Bystrica,Banskobystrický
683,Ľubomír,Petrák,"Ing., CSc.",SMER – sociálna demokracia,1961-08-06,slovenská,Hurbanova Ves ,Bratislavský
962,Simona,Petrík,Mgr. ,#SIEŤ,1982-11-10,slovenská,Bratislava,Bratislavský
843,Edita,Pfundtner,Mgr. ,MOST-HÍD,1973-01-30,maďarská,Bratislava,Bratislavský
685,Ján,Podmanický,"JUDr. PhDr., PhD.",SMER – sociálna demokracia,1977-05-17,slovenská,Stará Bystrica ,Žilinský
759,Martin,Poliačik,Mgr. ,Sloboda a Solidarita,1980-06-27,slovenská,Bratislava,Bratislavský
760,Radoslav,Procházka,"doc. JUDr., PhD. J.S.D.",#SIEŤ,1972-03-31,slovenská,Bratislava,Bratislavský
879,Róbert,Puci,Ing. ,SMER – sociálna demokracia,1973-06-13,slovenská,Trebišov,Košický kraj
965,Jozef,Rajtár, Dip Mgmt,Sloboda a Solidarita,1977-01-12,slovenská,Bratislava,Bratislavský
761,Richard,Raši,"MUDr., PhD., MPH",SMER – sociálna demokracia,1971-04-02,slovenská,Košice,Košický
905,Veronika,Remišová,"Mgr. art., M.A., ArtD. ",OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1976-05-31,slovenská,Bratislava,Bratislavský
932,Jaroslav,Ridoško,"MUDr., PhD. MBA",Slovenská národná strana,1958-07-08,slovenská,Trenčín,Trenčiansky
696,Ján,Senko,PhDr. ,SMER – sociálna demokracia,1958-07-11,slovenská,Očová,Banskobystrický
915,Silvia,Shahzad,Mgr. ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1976-05-28,slovenská,Nitrianske Pravno,Trenčiansky
945,Rastislav,Schlosár,JUDr. ,Kotleba - Ľudová strana Naše Slovensko,1984-05-28,slovenská,Bacúrov,Banskobystrický
697,Zsolt,Simon,Ing. ,MOST-HÍD,1970-08-26,maďarská,Padarovce,Banskobystrický
970,Vladimír,Sloboda,Ing. ,Sloboda a Solidarita,1979-07-08,slovenská,Bratislava,Bratislavský
972,Eva,Smolíková,Mgr. ,Slovenská národná strana,1963-12-24,slovenská,Dolný Ohaj,Nitriansky
765,László,Sólymos,Ing. ,MOST-HÍD,2010-07-08,maďarská,"",""
916,Miroslav,Sopko,Mgr. ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1975-01-25,slovenská,Zalužice,Košický
906,Alan,Suchánek,MUDr. ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1953-11-22,slovenská,Piešťany,Trnavský
127,František,Šebej,"PhDr., CSc.",MOST-HÍD,1947-05-11,slovenská,Bratislava,Bratislavský
924,Zuzana,Šebová,Ing. ,SME RODINA - Boris Kollár,1969-03-22,slovenská,Levice,Nitriansky
918,Martina,Šimkovičová,Mgr. PaedDr. ,SME RODINA - Boris Kollár,1971-08-29,slovenská,Bratislava,Bratislavský
926,Peter,Štarchoň,"prof. Mgr., PhD.",SME RODINA - Boris Kollár,1971-02-22,slovenská,Demandice,Nitriansky
769,Peter,Šuca,PaedDr. ,SMER – sociálna demokracia,1968-09-08,slovenská,Nová Lesná,Prešovský
930,Dušan,Tittel,Ing. ,Slovenská národná strana,1966-12-27,slovenská,Bratislava,Bratislavský
947,Milan,Uhrík,"Ing., PhD.",Kotleba - Ľudová strana Naše Slovensko,1984-12-21,slovenská,Nitra,Nitriansky
705,Jozef,Valocký,MUDr. ,SMER – sociálna demokracia,1956-11-26,slovenská,Galanta,Trnavský
732,Jana,Vaľová,PhDr. ,SMER – sociálna demokracia,1965-07-08,slovenská,Humenné,Prešovský
861,Richard,Vašečka,Mgr. ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1973-11-03,slovenská,Svederník,Žilinský
913,Anna,Verešová,Mgr. ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1964-04-25,slovenská,Kamenná Poruba,Žilinský
773,Jozef,Viskupič,Mgr. ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1976-02-08,slovenská,Trnava,Trnavský
149,Štefan,Zelník,"MUDr., PhD.",Slovenská národná strana,1954-12-22,slovenská,Žilina,Žilinský
969,Anna,Zemanová,RNDr. ,Sloboda a Solidarita,1959-09-12,slovenská,Bratislava,Bratislavský
959,Alena,ZvarováBašistová,"doc. PhDr., PhD.",#SIEŤ,1976-10-30,slovenská,Košice,Košický
908,Oto,Žarnay,Mgr. ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1969-03-18,slovenská,Košice,Košický
775,Ľubomír,Želiezka, ,SMER – sociálna demokracia,1950-07-22,slovenská,Bánovce nad Bebravou,Trenčiansky
692,Lucia,Žitňanská,"doc. JUDr., PhD.",MOST-HÍD,1964-06-03,slovenská,Bratislava,Bratislavský
792,Ľubomír,Jahnátek,"prof. Ing., CSc.",SMER – sociálna demokracia,1954-09-16,slovenská,"",""
293,Ľubomír,Vážny,Ing. ,SMER – sociálna demokracia,1957-07-15,slovenská,Banská Bystrica,Banskobystrický
979,Irén,Sárközy,Ing. JUDr. ,MOST-HÍD,1970-03-02,maďarská,Dunajská Streda,Trnavský
841,Péter,Vörös,Mgr. ,MOST-HÍD,1966-04-03,maďarská,Komárno,Nitriansky
980,Ján,Mora, ,Kotleba - Ľudová strana Naše Slovensko,1984-02-13,slovenská,Brezno,Banskobystrický
940,Erik,Tomáš,Mgr. ,SMER – sociálna demokracia,1975-06-15,slovenská,Bratislava,Bratislavský
981,Peter,Antal,Mgr. ,MOST-HÍD,1972-07-11,slovenská,Žiar nad Hronom,Banskobystrický
982,Ján,Marosz,Mgr. ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1978-06-18,slovenská,Podhorie,Žilinský
983,Zuzana,Zimenová,Mgr. ,#SIEŤ,1965-09-18,slovenská,Šamorín,Trnavský
257,Darina,Gabániová,"MUDr., PhD.",SMER – sociálna demokracia,1955-08-20,slovenská,Čataj,Bratislavský
675,Ľuboš,Martinák,Ing. ,SMER – sociálna demokracia,1958-07-14,slovenská,Medzilaborce,Prešovský
984,Elena,Červeňáková,Mgr. ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1959-03-01,slovenská,Košice,Košický
985,Natália,Milanová,Mgr. ,OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO-NOVA),1982-06-12,slovenská,Bratislava,Bratislavský
986,Radoslav,Pavelka,Mgr. ,Sloboda a Solidarita,1973-08-23,slovenská,Nitra,Nitriansky
672,Marek,Maďarič,Mgr. ,SMER – sociálna demokracia,1966-03-23,slovenská,Ivánka pri Dunaji,Bratislavský
40,Robert,Fico,"doc. JUDr., CSc.",SMER – sociálna demokracia,1964-09-15,slovenská,Bratislava,Bratislavský
271,Robert,Kaliňák,JUDr. ,SMER – sociálna demokracia,1971-05-11,slovenská,Bratislava,Bratislavský
987,Ladislav,Balódi,Mgr. ,MOST-HÍD,1971-05-23,maďarská,Vydrany,Trnavský
988,Juraj,Soboňa,Ing. ,Slovenská národná strana,1961-06-03,slovenská,Solčany,Nitriansky
256,Igor,Federič,Ing. ,SMER – sociálna demokracia,1962-10-06,slovenská,Bratislava,Bratislavský
989,Štefan,Vavrek,Mgr. ,MOST-HÍD,1982-09-23,rómska,Hubovo,Banskobystrický
990,Marek,Mitterpák,"Ing., PhD.",SMER – sociálna demokracia,1975-01-09,slovenská,Košice,Košický
992,Jakub,Nedoba,Mgr. ,Sloboda a Solidarita,1988-06-16,slovenská,Bratislava,Bratislavský
991,Marián,Viskupič,RNDr. Ing. ,Sloboda a Solidarita,1977-10-18,slovenská,Šúrovce,Trnavský
993,Marián,Chmelár,Bc. ,Kotleba - Ľudová strana Naše Slovensko,1960-03-17,slovenská,Bratislava,Bratislavský
994,Milan,Špánik,Ing. ,Kotleba - Ľudová strana Naše Slovensko,1971-07-02,slovenská,Nové  Mesto nad Váhom,Trenčiansky
888,Peter,Fitz,Mgr. ,SMER – sociálna demokracia,1975-08-10,slovenská,Šenkvice,Bratislavský kraj
